name	admix.pop	latitude	longitude	ploidy_man_curated
MN_47	MN_47	41.665463	-87.026752	2
SRR5124994	SRR5124994	36.4166667	-79.9666667	2
SRR5124992	SRR5124994	36.4166667	-79.9666667	2
SRR5124991	SRR5124994	36.4166667	-79.9666667	2
SRR2040788	SRR2040788	42.26	-81.84	2
SRR2040789	SRR2040789	43.25	-81.85	2
ERR3514860_4n	ERR3514860	46.78442	17.28775	4
ERR3514858_4n	ERR3514860	46.78442	17.28775	4
ERR3514859_4n	ERR3514860	46.78442	17.28775	4
ERR3514883	ERR3514883	47.90154	15.96864	2
ERR3514884	ERR3514883	47.90154	15.96864	2
SRR2040797	SRR2040797	47.91	15.97	2
SRR3111440	SRR2040797	47.91	15.97	2
ERR3514885	ERR3514885	47.92251	15.98176	2
ERR3514886	ERR3514885	47.92251	15.98176	2
SRR3111441	SRR3111441	47.97	16.16	2
ERR3514898	ERR3514898	47.97978	16.16374	2
ERR3514899	ERR3514898	47.97978	16.16374	2
ERR3514897	ERR3514898	47.97978	16.16374	2
SRR2040827_4n	SRR2040827	47.98	15.56	4
SRR2040826_4n	SRR2040826	48.07	16.26	4
ERR3514878_4n	ERR3514878	48.07955	16.26718	4
ERR3514880_4n	ERR3514878	48.07955	16.26718	4
ERR3514879_4n	ERR3514878	48.07955	16.26718	4
ERR3514869_4n	ERR3514869	48.09283	16.27073	4
ERR3514871_4n	ERR3514869	48.09283	16.27073	4
ERR3514870_4n	ERR3514869	48.09283	16.27073	4
SRR2040828_4n	SRR2040828	48.23	15.34	4
ERR3514887_4n	ERR3514887	48.23901	15.34931	4
ERR3514889_4n	ERR3514887	48.23901	15.34931	4
ERR3514888_4n	ERR3514887	48.23901	15.34931	4
ERR3514893_4n	ERR3514893	48.27428	15.39301	4
ERR3514892_4n	ERR3514893	48.27428	15.39301	4
ERR3514865_4n	ERR3514865	48.29432	15.42614	4
ERR3514866_4n	ERR3514865	48.29432	15.42614	4
ERR3514864_4n	ERR3514865	48.29432	15.42614	4
ERR3514895_4n	ERR3514895	48.34031	15.40085	4
ERR3514896_4n	ERR3514895	48.34031	15.40085	4
ERR3514876_4n	ERR3514876	48.3818	15.56031	4
ERR3514877_4n	ERR3514876	48.3818	15.56031	4
ERR3514875_4n	ERR3514876	48.3818	15.56031	4
SRR2040830_4n	SRR2040830	48.39	15.48	4
ERR3514873_4n	ERR3514873	48.39649	15.55268	4
ERR3514874_4n	ERR3514873	48.39649	15.55268	4
ERR3514872_4n	ERR3514873	48.39649	15.55268	4
SRR3111448_4n	SRR3111448	49.08	16.33	4
SRR2040791	SRR2040791	49.11	16.3	2
SRR3111442	SRR2040791	49.11	16.3	2
SRR2040790	SRR2040790	49.62	11.51	2
ERR4235091	ERR4235091	49.65	11.45	2
SRR5124975	SRR5124975	49.65	11.48333333	2
ERR4235088	ERR4235091	49.65	11.45	2
ERR4235093	ERR4235091	49.65	11.45	2
SRR5124986	SRR5124975	49.65	11.48333333	2
ERR4235094	ERR4235091	49.65	11.45	2
ERR4235090	ERR4235091	49.65	11.45	2
SRR5124989	SRR5124975	49.65	11.48333333	2
ERR4235095	ERR4235091	49.65	11.45	2
ERR4235097	ERR4235091	49.65	11.45	2
SRR5124990	SRR5124975	49.65	11.48333333	2
ERR4235096	ERR4235091	49.65	11.45	2
ERR4235092	ERR4235091	49.65	11.45	2
ERR4235089	ERR4235091	49.65	11.45	2
SRR5124984	SRR5124975	49.65	11.48333333	2
SRR5125003	SRR5124975	49.65	11.48333333	2
SRR2040798	SRR2040798	49.73	12.99	2
SRR3111439	SRR3111439	49.75	11.42	2
SRR3111443	SRR3111443	50.06	14.07	2
2:IRK-ID51711	2:IRK-ID51711	51.90944	102.41111	unsure
IRKU048360	IRKU048360	51.91752	102.721848	unsure
IRK-ID2040	IRK-ID2040	51.92833	102.42666	2
2:IRK-ID51712	2:IRK-ID51712	51.93250	102.42278	unsure
IRKU049797_4n	IRKU049797_4n	51.94	102.7	4
IRKU049798	IRKU049798	51.94	102.7	2
IRK-ID61141	IRK-ID61141	51.94167	102.42056	2
IRKU084814	IRKU084814	51.970047	102.448011	2
2:IRK-ID51710	2:IRK-ID51710	52	102	selfer
MW0079480_3	MW0079480	53.880491	127.413271	2
MW0079480	MW0079480	53.880491	127.413271	2
MW0079479	MW0079479	53.910706	127.414687	2
MW0079483	MW0079483	53.983663	127.465556	2
MW0079482_2	MW0079482	54.006938	127.412327	2
MW0079482	MW0079482	54.006938	127.412327	2
MW0079478_3	MW0079478	54.012285	127.423313	2
MW0079478	MW0079478	54.012285	127.423313	2
MW0079485_2	MW0079485	54.101409	127.268292	2
MW0079485	MW0079485	54.101409	127.268292	2
MW0079484_2	MW0079484_2	54.195031	127.12561	2
MW0079481_2	MW0079481	54.328725	126.814736	2
MW0079481	MW0079481	54.328725	126.814736	2
IRK-STAN	IRK-STAN	55.5	112.7	2
SRR2040794	SRR2040794	56.4	-4.81	2
SRR2040770	SRR2040770	56.54	-79.22	2
MW0079543_2	MW0079543_2	56.761912	124.749712	2
BAM_12.1-1	BAM_12.1-1	56.80700	124.88904	2
MW0079491_2	MW0079491	56.816615	124.878522	2
MW0079491	MW0079491	56.816615	124.878522	2
SRR2040793	SRR2040793	57	-3.11	2
IRKU049793_4n	IRKU049793_4n	57.5	116.55	4
SRR5124988	SRR5124988	57.5033	-6.1975	2
SRR5124976	SRR5124988	57.5033	-6.1975	2
IRK-ID27652	IRK-ID27652	58.7	103.0	2
MW0079583_3	MW0079509	59.5167321	59.1124535	2
MW0079583_1	MW0079509	59.5167321	59.1124535	2
MW0079583_2	MW0079509	59.5167321	59.1124535	2
MW0079510_1	MW0079509	59.5167321	59.1124535	2
MW0079509	MW0079509	59.5167321	59.1124535	2
ERR3397911	ERR3397911	61.41	8.25	2
ERR3397909	ERR3397911	61.41	8.25	2
ERR3397908	ERR3397911	61.41	8.25	2
ERR3397914	ERR3397911	61.41	8.25	2
ERR3397904	ERR3397911	61.41	8.25	2
ERR3397913	ERR3397911	61.41	8.25	2
ERR3397905	ERR3397911	61.41	8.25	2
ERR3397912	ERR3397911	61.41	8.25	2
ERR3397907	ERR3397911	61.41	8.25	2
ERR3397910	ERR3397911	61.41	8.25	2
ERR3397906	ERR3397911	61.41	8.25	2
SRR7119545	SRR7119545	61.62	8.4	2
SRR7119548	SRR7119545	61.62	8.4	2
SRR7119547	SRR7119545	61.62	8.4	2
SRR7119532	SRR7119545	61.62	8.4	2
SRR7119543	SRR7119545	61.62	8.4	2
SRR7119546	SRR7119545	61.62	8.4	2
SRR7119544	SRR7119545	61.62	8.4	2
SRR5124977	SRR5124977	61.6333333	8.4	2
SRR5124997	SRR5124977	61.6333333	8.4	2
SRR5124998	SRR5124977	61.6333333	8.4	2
SRR5124983	SRR5124977	61.6333333	8.4	2
SRR5124999	SRR5124977	61.6333333	8.4	2
SRR5124985	SRR5124977	61.6333333	8.4	2
SRR7119539	SRR7119539	61.84	8.57	2
SRR7119535	SRR7119539	61.84	8.57	2
SRR7119537	SRR7119539	61.84	8.57	2
SRR7119533	SRR7119539	61.84	8.57	2
SRR7119536	SRR7119539	61.84	8.57	2
SRR7119540	SRR7119539	61.84	8.57	2
SRR7119534	SRR7119539	61.84	8.57	2
SRR7119541	SRR7119539	61.84	8.57	2
SRR7119527	SRR7119527	62.44	8.9	2
SRR7119531	SRR7119527	62.44	8.9	2
SRR7119530	SRR7119527	62.44	8.9	2
SRR7119529	SRR7119527	62.44	8.9	2
SRR7119528	SRR7119527	62.44	8.9	2
SRR7119526	SRR7119526	62.66	8.62	2
SRR7119524	SRR7119526	62.66	8.62	2
SRR7119542	SRR7119526	62.66	8.62	2
SRR7119525	SRR7119526	62.66	8.62	2
SRR7119523	SRR7119526	62.66	8.62	2
SRR9319648	SRR9319648	62.74	9.3	2
SRR9319641	SRR9319648	62.74	9.3	2
SRR9319646	SRR9319648	62.74	9.3	2
SRR9319645	SRR9319648	62.74	9.3	2
SRR9319644	SRR9319648	62.74	9.3	2
SRR9319647	SRR9319648	62.74	9.3	2
SRR9319649	SRR9319648	62.74	9.3	2
SRR9319643	SRR9319648	62.74	9.3	2
SRR9319642	SRR9319648	62.74	9.3	2
SRR2040795	SRR2040795	62.9166667	34.41666667	2
SRR5124980	SRR2040795	62.9166667	34.41666667	2
SRR5124974	SRR2040795	62.9166667	34.41666667	2
SRR5125001	SRR2040795	62.9166667	34.41666667	2
SRR5124993	SRR2040795	62.9166667	34.41666667	2
SRR2040769	SRR2040769	63.1	-69.72	2
MW0079473_1	MW0079473_1	63.13195	144.676274	2
SRR5124978	SRR5124978	63.2166667	18.95	2
SRR5124987	SRR5124978	63.2166667	18.95	2
SRR5125002	SRR5124978	63.2166667	18.95	2
SRR5124996	SRR5124978	63.2166667	18.95	2
SRR5124982	SRR5124978	63.2166667	18.95	2
SRR5124995	SRR5124978	63.2166667	18.95	2
MW0079496	MW0079496	63.264569	143.230643	2
MW0079493_1	MW0079493_1	63.3508974	125.719986	2
MW0079895	MW0079895	66.447954	72.941734	2
WS_1.3-1_4n	WS	66.53735	34.50509	4
WS_1.1-2_4n	WS	66.53735	34.50509	4
WS_1.2-1_4n	WS	66.53735	34.50509	4
WS_1.1-1_4n	WS	66.53735	34.50509	4
WS_1.6-1_4n	WS	66.53735	34.50509	4
WS_1.7-1_4n	WS	66.53735	34.50509	4
