accession	name in vcf	include in map	include in network	include in admixture	admixture_expanded	big_admix?	selection scan pop	admix pop	network color	population	population	latitude	longitude	ploidy_man_curated	nquire ploidy	proportion_het%_to_NT1	Number_S_haplogroups	Species_fin	source	source_type	snps (2n)	collector, comments	admix	twisst Siberia	selection_test	est-sfs	demographic modeling pops	file to upload	ENA accession				
al1_1	al1_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	al	yellow	CS_4n	Central_Siberia_4n	69.13	94.04	4	4	0,51	3	A. lyrata		seeds	cohort1	Elena Pospelova	y	CESiberia_4n	tetra	CESiberia_4n	CET	/netscratch/dep_mercier/grp_novikova/A.Lyrata/anna_g/ENA_concat_ntbatch1/al1_1.fq.gz	ERS18382727				
al2_1	al2_1_4n	yes	yes	no	no	yes	CESiberia_4n	al	yellow	CS_4n	Central_Siberia_4n	69.13	94.04	4	4	0,53	3	A. lyrata		seeds	cohort1	Elena Pospelova	y	CESiberia_4n	tetra		CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/B7_al2_1_FDSW202525768-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382728				
al3_1	al3_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	al	yellow	CS_4n	Central_Siberia_4n	69.13	94.04	4	4	0,52	3	A. lyrata		seeds	cohort1	Elena Pospelova	y	CESiberia_4n	tetra	CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/C7_al3_1_FDSW202525769-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382729				
al4_1	al4_1_4n	yes	yes	yes	yes	yes	CESiberia_4n	al	yellow	CS_4n	Central_Siberia_4n	69.13	94.04	4	4	0,52	3	A. lyrata		seeds	cohort1	Elena Pospelova	y	CESiberia_4n	tetra	CESiberia_4n	CET	/biodata/dep_mercier/grp_novikova/A.Lyrata/NTbatch1/D7_al4_1_FDSW202525770-1r_HKJHWDSXY_L4_1.fq.gz	ERS18382730				
BAM_12.1-1	BAM_12.1-1	yes	yes	yes	yes	yes	CESiberia_2n	BAM_12.1-1	orange	ES_2n	East_Siberia_2n	56.80700	124.88904	2	4	0,41	2	A. lyrata		seeds		Nikita Tikhomirov		CESiberia_2n			CED	/biodata/dep_mercier/grp_novikova/A.Lyrata/lyrata_raw_February2023/X204SC22124444-Z01-F001_02/01.RawData/P5717_BV/*fq.gz	ERS18382731				
ERR3397904	ERR3397904	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,27	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397904				
ERR3397905	ERR3397905	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,26	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397905				
ERR3397906	ERR3397906	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	3	0,17	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397906				
ERR3397907	ERR3397907	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,25	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397907				
ERR3397908	ERR3397908	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	3	0,34	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397908				
ERR3397909	ERR3397909	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	3	0,35	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397909				
ERR3397910	ERR3397910	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,25	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397910				
ERR3397911	ERR3397911	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	3	0,35	1	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397911				
ERR3397912	ERR3397912	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,25	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397912				
ERR3397913	ERR3397913	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,27	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397913				
ERR3397914	ERR3397914	yes	yes	no	yes	yes		ERR3397911		UKScandinavia_2n	Scandinavia_UK_2n	61.41	8.25	2	2	0,32	2	A. lyrata	Takou et al, 2020	published	cohort5		y						ERR3397914				
ERR3514858	ERR3514858_4n	yes	yes	no	yes	yes		ERR3514860		Central_Europe_4n	Central_Europe_4n	46.78442	17.28775	4	4	0,66	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514858				
ERR3514859	ERR3514859_4n	yes	yes	no	yes	yes		ERR3514860		Central_Europe_4n	Central_Europe_4n	46.78442	17.28775	4	4	0,63	3	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514859				
ERR3514860	ERR3514860_4n	yes	yes	no	yes	yes		ERR3514860		Central_Europe_4n	Central_Europe_4n	46.78442	17.28775	4	4	0,70	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514860				
ERR3514864	ERR3514864_4n	yes	yes	no	yes	yes		ERR3514865		Central_Europe_4n	Central_Europe_4n	48.29432	15.42614	4	3	0,51	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514864				
ERR3514865	ERR3514865_4n	yes	yes	no	yes	yes		ERR3514865		Central_Europe_4n	Central_Europe_4n	48.29432	15.42614	4	4	0,61	4	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514865				
ERR3514866	ERR3514866_4n	yes	yes	no	yes	yes		ERR3514865		Central_Europe_4n	Central_Europe_4n	48.29432	15.42614	4	4	0,58	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514866				
ERR3514869	ERR3514869_4n	yes	yes	no	yes	yes		ERR3514869		Central_Europe_4n	Central_Europe_4n	48.09283	16.27073	4	4	0,65	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514869				
ERR3514870	ERR3514870_4n	yes	yes	no	yes	yes		ERR3514869		Central_Europe_4n	Central_Europe_4n	48.09283	16.27073	4	4	0,57	1	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514870				
ERR3514871	ERR3514871_4n	yes	yes	no	yes	yes		ERR3514869		Central_Europe_4n	Central_Europe_4n	48.09283	16.27073	4	4	0,60	1	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514871				
ERR3514872	ERR3514872_4n	yes	yes	no	yes	yes		ERR3514873		Central_Europe_4n	Central_Europe_4n	48.39649	15.55268	4	3	0,64	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514872				
ERR3514873	ERR3514873_4n	yes	yes	no	yes	yes		ERR3514873		Central_Europe_4n	Central_Europe_4n	48.39649	15.55268	4	4	0,71	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514873				
ERR3514874	ERR3514874_4n	yes	yes	no	yes	yes		ERR3514873		Central_Europe_4n	Central_Europe_4n	48.39649	15.55268	4	4	0,69	3	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514874				
ERR3514875	ERR3514875_4n	yes	yes	no	yes	yes		ERR3514876		Central_Europe_4n	Central_Europe_4n	48.3818	15.56031	4	3	0,49	1	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514875				
ERR3514876	ERR3514876_4n	yes	yes	no	yes	yes		ERR3514876		Central_Europe_4n	Central_Europe_4n	48.3818	15.56031	4	4	0,67	3	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514876				
ERR3514877	ERR3514877_4n	yes	yes	no	yes	yes		ERR3514876		Central_Europe_4n	Central_Europe_4n	48.3818	15.56031	4	3	0,52	4	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514877				
ERR3514878	ERR3514878_4n	yes	yes	no	yes	yes		ERR3514878		Central_Europe_4n	Central_Europe_4n	48.07955	16.26718	4	4	0,69	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514878				
ERR3514879	ERR3514879_4n	yes	yes	no	yes	yes		ERR3514878		Central_Europe_4n	Central_Europe_4n	48.07955	16.26718	4	4	0,58	3	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514879				
ERR3514880	ERR3514880_4n	yes	yes	no	yes	yes		ERR3514878		Central_Europe_4n	Central_Europe_4n	48.07955	16.26718	4	4	0,66	1	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514880				
ERR3514883	ERR3514883	yes	yes	no	yes	yes		ERR3514883		Austria_2n	Central_Europe_2n	47.90154	15.96864	2	2	0,29	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514883				
ERR3514884	ERR3514884	yes	yes	no	yes	yes		ERR3514883		Austria_2n	Central_Europe_2n	47.90154	15.96864	2	2	0,26	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514884				
ERR3514885	ERR3514885	yes	yes	no	yes	yes		ERR3514885		Austria_2n	Central_Europe_2n	47.92251	15.98176	2	2	0,32	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514885				
ERR3514886	ERR3514886	yes	yes	no	yes	yes		ERR3514885		Austria_2n	Central_Europe_2n	47.92251	15.98176	2	2	0,26	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514886				
ERR3514887	ERR3514887_4n	yes	yes	no	yes	yes		ERR3514887		Central_Europe_4n	Central_Europe_4n	48.23901	15.34931	4	4	0,72	3	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514887				
ERR3514888	ERR3514888_4n	yes	yes	no	yes	yes		ERR3514887		Central_Europe_4n	Central_Europe_4n	48.23901	15.34931	4	4	0,64	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514888				
ERR3514889	ERR3514889_4n	yes	yes	no	yes	yes		ERR3514887		Central_Europe_4n	Central_Europe_4n	48.23901	15.34931	4	4	0,68	2	A. lyrata	Marburger et al. 2019	published	cohort4		y						ERR3514889				
